key,className,methodName,methodSignature,exceptionType,indexNumber,countdown,rate,mode,foPoint,normally happened,run times in normal,run times in injection,injection captured in the business log,downloaded the file,exit status,process cpu time(in seconds),average memory usage(in MB),peak thread count
,com/turn/ttorrent/common/protocol/http/HTTPAnnounceResponseMessage,toPeerList,([B)Ljava/util/List;,java/net/UnknownHostException,,80,1,throw_e,0: com/turn/ttorrent/common/protocol/http/HTTPAnnounceResponseMessage/toPeerList - ([B)Ljava/util/List; | 1: com/turn/ttorrent/common/protocol/http/HTTPAnnounceResponseMessage/parse - (Ljava/nio/ByteBuffer;)Lcom/turn/ttorrent/common/protocol/http/HTTPAnnounceResponseMessage;,no,-,-,-,-,-,-,-,-
,com/turn/ttorrent/common/protocol/http/HTTPAnnounceResponseMessage,parse,(Ljava/nio/ByteBuffer;)Lcom/turn/ttorrent/common/protocol/http/HTTPAnnounceResponseMessage;,com/turn/ttorrent/common/protocol/TrackerMessage$MessageValidationException,,80,1,throw_e,0: com/turn/ttorrent/common/protocol/http/HTTPAnnounceResponseMessage/parse - (Ljava/nio/ByteBuffer;)Lcom/turn/ttorrent/common/protocol/http/HTTPAnnounceResponseMessage; | 1: com/turn/ttorrent/common/protocol/http/HTTPTrackerMessage/parse - (Ljava/nio/ByteBuffer;)Lcom/turn/ttorrent/common/protocol/http/HTTPTrackerMessage; | 2: com/turn/ttorrent/client/announce/HTTPTrackerClient/announce - (Lcom/turn/ttorrent/common/protocol/TrackerMessage$AnnounceRequestMessage$RequestEvent;Z)V,yes,-,-,-,-,-,-,-,-
,com/turn/ttorrent/client/announce/HTTPTrackerClient,announce,(Lcom/turn/ttorrent/common/protocol/TrackerMessage$AnnounceRequestMessage$RequestEvent;Z)V,com/turn/ttorrent/client/announce/AnnounceException,,80,1,throw_e,0: com/turn/ttorrent/client/announce/HTTPTrackerClient/announce - (Lcom/turn/ttorrent/common/protocol/TrackerMessage$AnnounceRequestMessage$RequestEvent;Z)V,yes,-,-,-,-,-,-,-,-
,com/turn/ttorrent/client/announce/HTTPTrackerClient,announce,(Lcom/turn/ttorrent/common/protocol/TrackerMessage$AnnounceRequestMessage$RequestEvent;Z)V,com/turn/ttorrent/client/announce/AnnounceException,,80,1,throw_e,0: com/turn/ttorrent/client/announce/HTTPTrackerClient/announce - (Lcom/turn/ttorrent/common/protocol/TrackerMessage$AnnounceRequestMessage$RequestEvent;Z)V | 1: com/turn/ttorrent/client/announce/Announce/run - ()V,yes,-,-,-,-,-,-,-,-
,com/turn/ttorrent/client/peer/SharingPeer,downloadPiece,(Lcom/turn/ttorrent/client/Piece;)V,java/lang/IllegalStateException,,80,1,throw_e,0: com/turn/ttorrent/client/peer/SharingPeer/downloadPiece - (Lcom/turn/ttorrent/client/Piece;)V | 1: com/turn/ttorrent/client/SharedTorrent/handlePeerReady - (Lcom/turn/ttorrent/client/peer/SharingPeer;)V | 2: com/turn/ttorrent/client/peer/SharingPeer/firePeerReady - ()V | 3: com/turn/ttorrent/client/peer/SharingPeer/handleMessage - (Lcom/turn/ttorrent/common/protocol/PeerMessage;)V | 4: com/turn/ttorrent/client/peer/PeerExchange$IncomingThread/run - ()V,yes,-,-,-,-,-,-,-,-
,com/turn/ttorrent/client/peer/PeerExchange$IncomingThread,run,()V,java/lang/IllegalStateException,,80,1,throw_e,0: com/turn/ttorrent/client/peer/PeerExchange$IncomingThread/run - ()V,yes,-,-,-,-,-,-,-,-
,com/turn/ttorrent/client/ConnectionHandler,validateHandshake,(Ljava/nio/channels/SocketChannel;[B)Lcom/turn/ttorrent/client/Handshake;,java/io/IOException,,80,1,throw_e,0: com/turn/ttorrent/client/ConnectionHandler/validateHandshake - (Ljava/nio/channels/SocketChannel;[B)Lcom/turn/ttorrent/client/Handshake; | 1: com/turn/ttorrent/client/ConnectionHandler/access$400 - (Lcom/turn/ttorrent/client/ConnectionHandler;Ljava/nio/channels/SocketChannel;[B)Lcom/turn/ttorrent/client/Handshake; | 2: com/turn/ttorrent/client/ConnectionHandler$ConnectorTask/run - ()V,yes,-,-,-,-,-,-,-,-
,com/turn/ttorrent/client/peer/PeerExchange$IncomingThread,read,(Ljava/nio/channels/Selector;Ljava/nio/ByteBuffer;)J,java/io/IOException,,80,1,throw_e,0: com/turn/ttorrent/client/peer/PeerExchange$IncomingThread/read - (Ljava/nio/channels/Selector;Ljava/nio/ByteBuffer;)J | 1: com/turn/ttorrent/client/peer/PeerExchange$IncomingThread/run - ()V,yes,-,-,-,-,-,-,-,-
,com/turn/ttorrent/client/Client,run,()V,java/lang/InterruptedException,,80,1,throw_e,0: com/turn/ttorrent/client/Client/run - ()V,yes,-,-,-,-,-,-,-,-
,com/turn/ttorrent/bcodec/BEValue,getBytes,()[B,java/lang/ClassCastException,,80,1,throw_e,0: com/turn/ttorrent/bcodec/BEValue/getBytes - ()[B,yes,-,-,-,-,-,-,-,-
